Year,"Big Bend(formerly Marfa)",Del Rio,El Centro,El Paso,Laredo,"Rio GrandeValley (formerlyMcAllen)",San Diego,Tucson,Yuma,Total
FY 1992,108.00,317.00,217.00,627.00,364.00,418.00,1009.00,300.00,195.00,3555.00
FY 1993,134.00,297.00,198.00,608.00,353.00,393.00,992.00,287.00,182.00,3444.00
FY 1994,128.00,299.00,194.00,643.00,337.00,392.00,1290.00,282.00,182.00,3747.00
FY 1995,133.00,399.00,190.00,746.00,421.00,474.00,1433.00,407.00,185.00,4388.00
FY 1996,134.00,406.00,189.00,841.00,415.00,507.00,1965.00,702.00,174.00,5333.00
FY 1997,135.00,471.00,249.00,918.00,451.00,760.00,2281.00,875.00,175.00,6315.00
FY 1998,164.00,589.00,383.00,972.00,628.00,1107.00,2274.00,1013.00,227.00,7357.00
FY 1999,144.00,639.00,423.00,957.00,685.00,1166.00,2136.00,1328.00,228.00,7706.00
FY 2000,196.00,758.00,502.00,1036.00,806.00,1368.00,2053.00,1548.00,313.00,8580.00
FY 2001,194.00,893.00,589.00,1086.00,921.00,1451.00,2004.00,1686.00,323.00,9147.00
FY 2002,253.00,972.00,683.00,1122.00,969.00,1484.00,1807.00,1626.00,323.00,9239.00
FY 2003,230.00,950.00,755.00,1188.00,1025.00,1524.00,1972.00,1838.00,358.00,9840.00
FY 2004,239.00,933.00,734.00,1094.00,981.00,1439.00,1651.00,2104.00,331.00,9506.00
FY 2005,220.00,907.00,684.00,1330.00,937.00,1380.00,1562.00,2324.00,547.00,9891.00
FY 2006,246.00,935.00,713.00,1741.00,926.00,1431.00,1671.00,2595.00,774.00,11032.00
FY 2007,336.00,1138.00,894.00,2251.00,1206.00,1822.00,2019.00,2806.00,825.00,13297.00
FY 2008,421.00,1427.00,1080.00,2506.00,1636.00,2063.00,2328.00,3049.00,932.00,15442.00
FY 2009,682.00,1682.00,1187.00,2712.00,1863.00,2422.00,2570.00,3318.00,972.00,17408.00
FY 2010,672.00,1650.00,1181.00,2752.00,1858.00,2441.00,2594.00,3353.00,987.00,17535.00
FY 2011,667.00,1626.00,1164.00,2738.00,1871.00,2504.00,2669.00,4239.00,969.00,18506.00
FY 2012,693.00,1655.00,1168.00,2718.00,1879.00,2546.00,2623.00,4176.00,954.00,18546.00
FY 2013,623.00,1598.00,1141.00,2631.00,1804.00,3086.00,2572.00,4135.00,911.00,18611.00
FY 2014,588.00,1537.00,1074.00,2522.00,1785.00,3064.00,2546.00,4052.00,859.00,18156.00
FY 2015,549.00,1536.00,1004.00,2364.00,1670.00,3056.00,2430.00,3991.00,804.00,17522.00
FY 2016,511.00,1439.00,927.00,2240.00,1670.00,3135.00,2325.00,3834.00,829.00,17026.00